Sample,DCAA (mg/L),TCAA (ug/L),BCAA(mg/L),HAA5 (ug/L),HAA9 (ug/L),Temp,pH ,UVA254(cm),Cl2 (mg/L),NO2 -N (mg/L),DOC (mg/L),NH4-N (ug/L),Br (ug/L)
49,6.92,5.54,0.94,12.52,13.46,14.9,7.12,0.01,0.5,0.86,0.37,8.46,1.56
50,6.74,5.22,0.96,12.03,13.09,13.8,6.85,0.008,0.54,0.57,0.46,14.8,1.94
51,6.52,5.09,0.93,11.69,12.7,14.9,6.92,0.009,0.59,2,0.23,17.97,1.81
t1,6.29,6.07,0.63,13.35,15.52,24.2,7.26,0.031,0.08,4.2,1.87,4.36,6.35
t2,4.23,2.09,0.74,6.32,7.06,16,7.09,0.004,0.45,0.86,0.2,21.14,2.13
t3,3.84,4.69,0.96,9.39,11.13,24.6,8.5,0.03,0.14,1.82,0.98,3.28,3.79
t4,3.81,3.49,0.63,7.3,8.36,9,6.86,0.021,0.06,0.61,0.36,28.3,1.85
t5,16.53,17.86,1.03,35.94,37.95,24.3,7.4,0.036,0.36,1.84,2.06,6.61,4.1
t6,15.23,17.1,1.14,32.33,33.96,14,7.15,0.03,0.24,0.3,1.46,10.78,2.92
t7,12.49,9.61,1.04,22.23,23.26,18.2,6.93,0.015,0.5,1.14,1.02,21.14,1.81
t8,9.78,10.88,1.13,20.67,22.4,13.5,7.02,0.025,0.38,0.61,1.25,31,2.77
t9,7.81,7.76,0.96,15.66,16.62,15.1,7.02,0.014,0.21,0.57,0.74,25.37,3.31
t10,7.85,7.54,1.09,16.13,17.22,16.8,7.05,0.011,0.59,0.57,0.99,29.6,2.56
t11,8.75,10.48,1.02,20.01,22.33,24.7,7.57,0.029,0.06,2.7,0.99,8.7,5.2
t12,7.75,7.23,0.87,15.14,16.81,25,7.24,0.033,0.27,1.81,0.94,0,4.83
t13,8.48,7.09,0.92,15.57,16.92,8.5,6.92,0.021,0.5,0,0.7,10.78,1.31
t14,7.75,7.23,0.87,15.14,16.81,25,7.24,0.033,0.27,1.81,0.94,0,4.83
t15,8.48,7.09,0.92,15.57,16.92,8.5,6.92,0.021,0.5,0,0.7,10.78,1.31
